"Date","Price","Open","High","Low","Vol.","Change %"
"11/21/2023","2,378.90","2,366.00","2,388.00","2,360.20","4.11M","1.26%"
"11/20/2023","2,349.35","2,348.55","2,358.40","2,336.40","2.25M","-0.26%"
"11/17/2023","2,355.55","2,352.90","2,373.25","2,352.05","3.88M","-0.22%"
"11/16/2023","2,360.70","2,351.10","2,374.15","2,346.95","6.57M","0.18%"
"11/15/2023","2,356.45","2,340.00","2,361.95","2,327.00","6.11M","1.81%"
"11/13/2023","2,314.60","2,322.90","2,324.60","2,311.70","1.93M","-0.69%"
"11/12/2023","2,330.65","2,326.05","2,331.90","2,323.00","709.56K","0.68%"
"11/10/2023","2,314.90","2,305.55","2,316.35","2,298.05","3.87M","0.19%"
"11/09/2023","2,310.55","2,335.85","2,335.90","2,304.20","7.26M","-1.09%"
"11/08/2023","2,335.90","2,332.00","2,341.00","2,321.75","3.94M","0.52%"
"11/07/2023","2,323.80","2,334.05","2,339.10","2,319.55","3.48M","-0.65%"
"11/06/2023","2,339.00","2,332.30","2,340.00","2,325.60","5.32M","0.83%"
"11/03/2023","2,319.70","2,327.20","2,334.95","2,315.75","4.43M","-0.02%"
"11/02/2023","2,320.20","2,313.95","2,324.30","2,307.95","5.28M","0.99%"
"11/01/2023","2,297.40","2,289.15","2,317.50","2,275.20","5.15M","0.42%"
"10/31/2023","2,287.90","2,328.00","2,328.00","2,282.90","6.40M","-1.06%"
"10/30/2023","2,312.50","2,274.00","2,325.00","2,269.95","8.41M","2.06%"
"10/27/2023","2,265.80","2,240.00","2,273.50","2,235.95","5.89M","1.77%"
"10/26/2023","2,226.50","2,251.00","2,258.00","2,220.30","7.61M","-1.39%"
"10/25/2023","2,257.95","2,250.05","2,281.20","2,243.00","5.81M","-0.23%"
"10/23/2023","2,263.20","2,290.00","2,306.25","2,255.25","3.93M","-1.56%"
"10/20/2023","2,299.10","2,300.00","2,314.70","2,296.30","4.46M","-0.31%"
